,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,casual,registered,cnt,range_times,day_type,weather_situation,season_type,range_times_encoded,range_times_clustered
39,40,2011-01-02,1,0,1,16,0,0,0,3,9,67,76,Afternoon,Holiday,Rainy or Snowy,Spring,0,1
40,41,2011-01-02,1,0,1,17,0,0,0,1,7,58,65,Evening,Holiday,Clearly,Spring,2,2
41,42,2011-01-02,1,0,1,18,0,0,0,2,10,43,53,Evening,Holiday,Misty,Spring,2,2
42,43,2011-01-02,1,0,1,19,0,0,0,1,1,29,30,Night,Holiday,Clearly,Spring,4,2
43,44,2011-01-02,1,0,1,20,0,0,0,1,5,17,22,Night,Holiday,Clearly,Spring,4,2
44,45,2011-01-02,1,0,1,21,0,0,0,1,11,20,31,Night,Holiday,Clearly,Spring,4,2
45,46,2011-01-02,1,0,1,22,0,0,0,1,0,9,9,Night,Holiday,Clearly,Spring,4,2
46,47,2011-01-02,1,0,1,23,0,0,0,1,0,8,8,Night,Holiday,Clearly,Spring,4,2
47,48,2011-01-03,1,0,1,0,0,1,1,1,0,5,5,Dawn,Working Day,Clearly,Spring,1,1
48,49,2011-01-03,1,0,1,1,0,1,1,1,0,2,2,Dawn,Working Day,Clearly,Spring,1,1
49,50,2011-01-03,1,0,1,4,0,1,1,1,0,1,1,Morning,Working Day,Clearly,Spring,3,2
50,51,2011-01-03,1,0,1,5,0,1,1,1,0,3,3,Morning,Working Day,Clearly,Spring,3,2
51,52,2011-01-03,1,0,1,6,0,1,1,1,0,30,30,Morning,Working Day,Clearly,Spring,3,2
52,53,2011-01-03,1,0,1,7,0,1,1,1,1,63,64,Morning,Working Day,Clearly,Spring,3,2
53,54,2011-01-03,1,0,1,8,0,1,1,1,1,153,154,Morning,Working Day,Clearly,Spring,3,2
54,55,2011-01-03,1,0,1,9,0,1,1,1,7,81,88,Morning,Working Day,Clearly,Spring,3,2
55,56,2011-01-03,1,0,1,10,0,1,1,1,11,33,44,Morning,Working Day,Clearly,Spring,3,2
56,57,2011-01-03,1,0,1,11,0,1,1,1,10,41,51,Afternoon,Working Day,Clearly,Spring,0,1
57,58,2011-01-03,1,0,1,12,0,1,1,1,13,48,61,Afternoon,Working Day,Clearly,Spring,0,1
58,59,2011-01-03,1,0,1,13,0,1,1,1,8,53,61,Afternoon,Working Day,Clearly,Spring,0,1
59,60,2011-01-03,1,0,1,14,0,1,1,1,11,66,77,Afternoon,Working Day,Clearly,Spring,0,1
60,61,2011-01-03,1,0,1,15,0,1,1,1,14,58,72,Afternoon,Working Day,Clearly,Spring,0,1
61,62,2011-01-03,1,0,1,16,0,1,1,1,9,67,76,Afternoon,Working Day,Clearly,Spring,0,1
62,63,2011-01-03,1,0,1,17,0,1,1,1,11,146,157,Evening,Working Day,Clearly,Spring,2,2
63,64,2011-01-03,1,0,1,18,0,1,1,1,9,148,157,Evening,Working Day,Clearly,Spring,2,2
64,65,2011-01-03,1,0,1,19,0,1,1,1,8,102,110,Night,Working Day,Clearly,Spring,4,2
65,66,2011-01-03,1,0,1,20,0,1,1,1,3,49,52,Night,Working Day,Clearly,Spring,4,2
66,67,2011-01-03,1,0,1,21,0,1,1,1,3,49,52,Night,Working Day,Clearly,Spring,4,2
67,68,2011-01-03,1,0,1,22,0,1,1,1,0,20,20,Night,Working Day,Clearly,Spring,4,2
68,69,2011-01-03,1,0,1,23,0,1,1,1,1,11,12,Night,Working Day,Clearly,Spring,4,2
69,70,2011-01-04,1,0,1,0,0,2,1,1,0,5,5,Dawn,Working Day,Clearly,Spring,1,1
70,71,2011-01-04,1,0,1,1,0,2,1,1,0,2,2,Dawn,Working Day,Clearly,Spring,1,1
71,72,2011-01-04,1,0,1,2,0,2,1,1,0,1,1,Dawn,Working Day,Clearly,Spring,1,1
72,73,2011-01-04,1,0,1,4,0,2,1,1,0,2,2,Morning,Working Day,Clearly,Spring,3,2
73,74,2011-01-04,1,0,1,5,0,2,1,1,0,4,4,Morning,Working Day,Clearly,Spring,3,2
74,75,2011-01-04,1,0,1,6,0,2,1,1,0,36,36,Morning,Working Day,Clearly,Spring,3,2
75,76,2011-01-04,1,0,1,7,0,2,1,1,2,92,94,Morning,Working Day,Clearly,Spring,3,2
76,77,2011-01-04,1,0,1,8,0,2,1,1,2,177,179,Morning,Working Day,Clearly,Spring,3,2
77,78,2011-01-04,1,0,1,9,0,2,1,1,2,98,100,Morning,Working Day,Clearly,Spring,3,2
78,79,2011-01-04,1,0,1,10,0,2,1,2,5,37,42,Morning,Working Day,Misty,Spring,3,2
79,80,2011-01-04,1,0,1,11,0,2,1,1,7,50,57,Afternoon,Working Day,Clearly,Spring,0,1
80,81,2011-01-04,1,0,1,12,0,2,1,1,12,66,78,Afternoon,Working Day,Clearly,Spring,0,1
81,82,2011-01-04,1,0,1,13,0,2,1,1,18,79,97,Afternoon,Working Day,Clearly,Spring,0,1
82,83,2011-01-04,1,0,1,14,0,2,1,1,9,54,63,Afternoon,Working Day,Clearly,Spring,0,1
83,84,2011-01-04,1,0,1,15,0,2,1,1,17,48,65,Afternoon,Working Day,Clearly,Spring,0,1
84,85,2011-01-04,1,0,1,16,0,2,1,1,15,68,83,Afternoon,Working Day,Clearly,Spring,0,1
85,86,2011-01-04,1,0,1,17,0,2,1,1,10,202,212,Evening,Working Day,Clearly,Spring,2,0
86,87,2011-01-04,1,0,1,18,0,2,1,1,3,179,182,Evening,Working Day,Clearly,Spring,2,2
87,88,2011-01-04,1,0,1,19,0,2,1,1,2,110,112,Night,Working Day,Clearly,Spring,4,2
88,89,2011-01-04,1,0,1,20,0,2,1,1,1,53,54,Night,Working Day,Clearly,Spring,4,2
89,90,2011-01-04,1,0,1,21,0,2,1,1,0,48,48,Night,Working Day,Clearly,Spring,4,2
90,91,2011-01-04,1,0,1,22,0,2,1,1,1,34,35,Night,Working Day,Clearly,Spring,4,2
91,92,2011-01-04,1,0,1,23,0,2,1,1,2,9,11,Night,Working Day,Clearly,Spring,4,2
92,93,2011-01-05,1,0,1,0,0,3,1,1,0,6,6,Dawn,Working Day,Clearly,Spring,1,1
93,94,2011-01-05,1,0,1,1,0,3,1,1,0,6,6,Dawn,Working Day,Clearly,Spring,1,1
94,95,2011-01-05,1,0,1,2,0,3,1,1,0,2,2,Dawn,Working Day,Clearly,Spring,1,1
95,96,2011-01-05,1,0,1,4,0,3,1,1,0,2,2,Morning,Working Day,Clearly,Spring,3,2
96,97,2011-01-05,1,0,1,5,0,3,1,1,0,3,3,Morning,Working Day,Clearly,Spring,3,2
97,98,2011-01-05,1,0,1,6,0,3,1,1,0,33,33,Morning,Working Day,Clearly,Spring,3,2
98,99,2011-01-05,1,0,1,7,0,3,1,1,1,87,88,Morning,Working Day,Clearly,Spring,3,2
99,100,2011-01-05,1,0,1,8,0,3,1,1,3,192,195,Morning,Working Day,Clearly,Spring,3,2
100,101,2011-01-05,1,0,1,9,0,3,1,1,6,109,115,Morning,Working Day,Clearly,Spring,3,2
101,102,2011-01-05,1,0,1,10,0,3,1,1,4,53,57,Morning,Working Day,Clearly,Spring,3,2
102,103,2011-01-05,1,0,1,11,0,3,1,1,12,34,46,Afternoon,Working Day,Clearly,Spring,0,1
103,104,2011-01-05,1,0,1,12,0,3,1,1,5,74,79,Afternoon,Working Day,Clearly,Spring,0,1
104,105,2011-01-05,1,0,1,13,0,3,1,1,6,65,71,Afternoon,Working Day,Clearly,Spring,0,1
105,106,2011-01-05,1,0,1,14,0,3,1,1,10,52,62,Afternoon,Working Day,Clearly,Spring,0,1
106,107,2011-01-05,1,0,1,15,0,3,1,1,7,55,62,Afternoon,Working Day,Clearly,Spring,0,1
107,108,2011-01-05,1,0,1,16,0,3,1,1,4,85,89,Afternoon,Working Day,Clearly,Spring,0,1
108,109,2011-01-05,1,0,1,17,0,3,1,1,4,186,190,Evening,Working Day,Clearly,Spring,2,2
109,110,2011-01-05,1,0,1,18,0,3,1,1,3,166,169,Evening,Working Day,Clearly,Spring,2,2
110,111,2011-01-05,1,0,1,19,0,3,1,1,5,127,132,Night,Working Day,Clearly,Spring,4,2
111,112,2011-01-05,1,0,1,20,0,3,1,1,7,82,89,Night,Working Day,Clearly,Spring,4,2
112,113,2011-01-05,1,0,1,21,0,3,1,1,3,40,43,Night,Working Day,Clearly,Spring,4,2
113,114,2011-01-05,1,0,1,22,0,3,1,1,1,41,42,Night,Working Day,Clearly,Spring,4,2
114,115,2011-01-05,1,0,1,23,0,3,1,1,1,18,19,Night,Working Day,Clearly,Spring,4,2
115,116,2011-01-06,1,0,1,0,0,4,1,1,0,11,11,Dawn,Working Day,Clearly,Spring,1,1
116,117,2011-01-06,1,0,1,1,0,4,1,1,0,4,4,Dawn,Working Day,Clearly,Spring,1,1
117,118,2011-01-06,1,0,1,2,0,4,1,1,0,2,2,Dawn,Working Day,Clearly,Spring,1,1
118,119,2011-01-06,1,0,1,4,0,4,1,2,0,1,1,Morning,Working Day,Misty,Spring,3,2
119,120,2011-01-06,1,0,1,5,0,4,1,2,0,4,4,Morning,Working Day,Misty,Spring,3,2
120,121,2011-01-06,1,0,1,6,0,4,1,2,0,36,36,Morning,Working Day,Misty,Spring,3,2
121,122,2011-01-06,1,0,1,7,0,4,1,2,0,95,95,Morning,Working Day,Misty,Spring,3,2
122,123,2011-01-06,1,0,1,8,0,4,1,1,3,216,219,Morning,Working Day,Clearly,Spring,3,0
123,124,2011-01-06,1,0,1,9,0,4,1,2,6,116,122,Morning,Working Day,Misty,Spring,3,2
124,125,2011-01-06,1,0,1,10,0,4,1,1,3,42,45,Morning,Working Day,Clearly,Spring,3,2
125,126,2011-01-06,1,0,1,11,0,4,1,1,2,57,59,Afternoon,Working Day,Clearly,Spring,0,1
126,127,2011-01-06,1,0,1,12,0,4,1,1,6,78,84,Afternoon,Working Day,Clearly,Spring,0,1
127,128,2011-01-06,1,0,1,13,0,4,1,1,12,55,67,Afternoon,Working Day,Clearly,Spring,0,1
128,129,2011-01-06,1,0,1,14,0,4,1,1,11,59,70,Afternoon,Working Day,Clearly,Spring,0,1
129,130,2011-01-06,1,0,1,15,0,4,1,1,8,54,62,Afternoon,Working Day,Clearly,Spring,0,1
130,131,2011-01-06,1,0,1,16,0,4,1,1,12,74,86,Afternoon,Working Day,Clearly,Spring,0,1
131,132,2011-01-06,1,0,1,17,0,4,1,1,9,163,172,Evening,Working Day,Clearly,Spring,2,2
132,133,2011-01-06,1,0,1,18,0,4,1,1,5,158,163,Evening,Working Day,Clearly,Spring,2,2
133,134,2011-01-06,1,0,1,19,0,4,1,1,3,109,112,Night,Working Day,Clearly,Spring,4,2
134,135,2011-01-06,1,0,1,20,0,4,1,1,3,66,69,Night,Working Day,Clearly,Spring,4,2
135,136,2011-01-06,1,0,1,21,0,4,1,2,0,48,48,Night,Working Day,Misty,Spring,4,2
136,137,2011-01-06,1,0,1,22,0,4,1,2,1,51,52,Night,Working Day,Misty,Spring,4,2
137,138,2011-01-06,1,0,1,23,0,4,1,2,4,19,23,Night,Working Day,Misty,Spring,4,2
138,139,2011-01-07,1,0,1,0,0,5,1,2,4,13,17,Dawn,Working Day,Misty,Spring,1,1
139,140,2011-01-07,1,0,1,1,0,5,1,2,2,5,7,Dawn,Working Day,Misty,Spring,1,1
140,141,2011-01-07,1,0,1,2,0,5,1,2,0,1,1,Dawn,Working Day,Misty,Spring,1,1
141,142,2011-01-07,1,0,1,4,0,5,1,2,0,1,1,Morning,Working Day,Misty,Spring,3,2
142,143,2011-01-07,1,0,1,5,0,5,1,3,0,5,5,Morning,Working Day,Rainy or Snowy,Spring,3,2
143,144,2011-01-07,1,0,1,6,0,5,1,2,8,26,34,Morning,Working Day,Misty,Spring,3,2
144,145,2011-01-07,1,0,1,7,0,5,1,1,8,76,84,Morning,Working Day,Clearly,Spring,3,2
145,146,2011-01-07,1,0,1,8,0,5,1,1,20,190,210,Morning,Working Day,Clearly,Spring,3,0
146,147,2011-01-07,1,0,1,9,0,5,1,1,9,125,134,Morning,Working Day,Clearly,Spring,3,2
147,148,2011-01-07,1,0,1,10,0,5,1,1,16,47,63,Morning,Working Day,Clearly,Spring,3,2
148,149,2011-01-07,1,0,1,11,0,5,1,2,19,48,67,Afternoon,Working Day,Misty,Spring,0,1
149,150,2011-01-07,1,0,1,12,0,5,1,2,9,50,59,Afternoon,Working Day,Misty,Spring,0,1
150,151,2011-01-07,1,0,1,13,0,5,1,2,9,64,73,Afternoon,Working Day,Misty,Spring,0,1
151,152,2011-01-07,1,0,1,14,0,5,1,2,7,43,50,Afternoon,Working Day,Misty,Spring,0,1
152,153,2011-01-07,1,0,1,15,0,5,1,2,9,63,72,Afternoon,Working Day,Misty,Spring,0,1
153,154,2011-01-07,1,0,1,16,0,5,1,2,5,82,87,Afternoon,Working Day,Misty,Spring,0,1
154,155,2011-01-07,1,0,1,17,0,5,1,2,9,178,187,Evening,Working Day,Misty,Spring,2,2
155,156,2011-01-07,1,0,1,18,0,5,1,1,7,116,123,Evening,Working Day,Clearly,Spring,2,2
156,157,2011-01-07,1,0,1,19,0,5,1,1,3,92,95,Night,Working Day,Clearly,Spring,4,2
157,158,2011-01-07,1,0,1,20,0,5,1,1,1,50,51,Night,Working Day,Clearly,Spring,4,2
158,159,2011-01-07,1,0,1,21,0,5,1,1,0,39,39,Night,Working Day,Clearly,Spring,4,2
159,160,2011-01-07,1,0,1,22,0,5,1,2,2,34,36,Night,Working Day,Misty,Spring,4,2
160,161,2011-01-07,1,0,1,23,0,5,1,2,1,14,15,Night,Working Day,Misty,Spring,4,2
161,162,2011-01-08,1,0,1,0,0,6,0,2,1,24,25,Dawn,Holiday,Misty,Spring,1,1
162,163,2011-01-08,1,0,1,1,0,6,0,2,1,15,16,Dawn,Holiday,Misty,Spring,1,1
163,164,2011-01-08,1,0,1,2,0,6,0,2,3,13,16,Dawn,Holiday,Misty,Spring,1,1
164,165,2011-01-08,1,0,1,3,0,6,0,3,0,7,7,Dawn,Holiday,Rainy or Snowy,Spring,1,1
165,166,2011-01-08,1,0,1,4,0,6,0,3,0,1,1,Morning,Holiday,Rainy or Snowy,Spring,3,2
166,167,2011-01-08,1,0,1,5,0,6,0,2,0,5,5,Morning,Holiday,Misty,Spring,3,2
167,168,2011-01-08,1,0,1,6,0,6,0,2,0,2,2,Morning,Holiday,Misty,Spring,3,2
168,169,2011-01-08,1,0,1,7,0,6,0,2,1,8,9,Morning,Holiday,Misty,Spring,3,2
169,170,2011-01-08,1,0,1,8,0,6,0,3,0,15,15,Morning,Holiday,Rainy or Snowy,Spring,3,2
170,171,2011-01-08,1,0,1,9,0,6,0,3,0,20,20,Morning,Holiday,Rainy or Snowy,Spring,3,2
171,172,2011-01-08,1,0,1,10,0,6,0,2,5,56,61,Morning,Holiday,Misty,Spring,3,2
172,173,2011-01-08,1,0,1,11,0,6,0,2,2,60,62,Afternoon,Holiday,Misty,Spring,0,1
173,174,2011-01-08,1,0,1,12,0,6,0,2,8,90,98,Afternoon,Holiday,Misty,Spring,0,1
174,175,2011-01-08,1,0,1,13,0,6,0,1,7,95,102,Afternoon,Holiday,Clearly,Spring,0,1
175,176,2011-01-08,1,0,1,14,0,6,0,1,12,83,95,Afternoon,Holiday,Clearly,Spring,0,1
176,177,2011-01-08,1,0,1,15,0,6,0,1,5,69,74,Afternoon,Holiday,Clearly,Spring,0,1
177,178,2011-01-08,1,0,1,16,0,6,0,1,8,68,76,Afternoon,Holiday,Clearly,Spring,0,1
178,179,2011-01-08,1,0,1,17,0,6,0,1,5,64,69,Evening,Holiday,Clearly,Spring,2,2
179,180,2011-01-08,1,0,1,18,0,6,0,1,3,52,55,Evening,Holiday,Clearly,Spring,2,2
180,181,2011-01-08,1,0,1,19,0,6,0,1,4,26,30,Night,Holiday,Clearly,Spring,4,2
181,182,2011-01-08,1,0,1,20,0,6,0,1,0,28,28,Night,Holiday,Clearly,Spring,4,2
182,183,2011-01-08,1,0,1,21,0,6,0,1,2,35,37,Night,Holiday,Clearly,Spring,4,2
183,184,2011-01-08,1,0,1,22,0,6,0,1,1,33,34,Night,Holiday,Clearly,Spring,4,2
184,185,2011-01-08,1,0,1,23,0,6,0,1,0,22,22,Night,Holiday,Clearly,Spring,4,2
185,186,2011-01-09,1,0,1,0,0,0,0,1,1,24,25,Dawn,Holiday,Clearly,Spring,1,1
186,187,2011-01-09,1,0,1,1,0,0,0,1,0,12,12,Dawn,Holiday,Clearly,Spring,1,1
187,188,2011-01-09,1,0,1,2,0,0,0,1,0,11,11,Dawn,Holiday,Clearly,Spring,1,1
188,189,2011-01-09,1,0,1,3,0,0,0,1,0,4,4,Dawn,Holiday,Clearly,Spring,1,1
189,190,2011-01-09,1,0,1,4,0,0,0,1,0,1,1,Morning,Holiday,Clearly,Spring,3,2
190,191,2011-01-09,1,0,1,5,0,0,0,1,0,1,1,Morning,Holiday,Clearly,Spring,3,2
191,192,2011-01-09,1,0,1,6,0,0,0,1,0,1,1,Morning,Holiday,Clearly,Spring,3,2
192,193,2011-01-09,1,0,1,7,0,0,0,1,1,5,6,Morning,Holiday,Clearly,Spring,3,2
193,194,2011-01-09,1,0,1,8,0,0,0,1,0,10,10,Morning,Holiday,Clearly,Spring,3,2
194,195,2011-01-09,1,0,1,9,0,0,0,1,0,19,19,Morning,Holiday,Clearly,Spring,3,2
195,196,2011-01-09,1,0,1,10,0,0,0,1,0,49,49,Morning,Holiday,Clearly,Spring,3,2
196,197,2011-01-09,1,0,1,11,0,0,0,1,2,47,49,Afternoon,Holiday,Clearly,Spring,0,1
197,198,2011-01-09,1,0,1,12,0,0,0,1,4,79,83,Afternoon,Holiday,Clearly,Spring,0,1
198,199,2011-01-09,1,0,1,13,0,0,0,1,6,69,75,Afternoon,Holiday,Clearly,Spring,0,1
199,200,2011-01-09,1,0,1,14,0,0,0,1,8,64,72,Afternoon,Holiday,Clearly,Spring,0,1
200,201,2011-01-09,1,0,1,15,0,0,0,1,5,77,82,Afternoon,Holiday,Clearly,Spring,0,1
201,202,2011-01-09,1,0,1,16,0,0,0,1,13,79,92,Afternoon,Holiday,Clearly,Spring,0,1
202,203,2011-01-09,1,0,1,17,0,0,0,1,3,59,62,Evening,Holiday,Clearly,Spring,2,2
203,204,2011-01-09,1,0,1,18,0,0,0,1,4,44,48,Evening,Holiday,Clearly,Spring,2,2
204,205,2011-01-09,1,0,1,19,0,0,0,1,1,40,41,Night,Holiday,Clearly,Spring,4,2
205,206,2011-01-09,1,0,1,20,0,0,0,1,0,38,38,Night,Holiday,Clearly,Spring,4,2
206,207,2011-01-09,1,0,1,21,0,0,0,1,1,19,20,Night,Holiday,Clearly,Spring,4,2
207,208,2011-01-09,1,0,1,22,0,0,0,1,5,10,15,Night,Holiday,Clearly,Spring,4,2
208,209,2011-01-09,1,0,1,23,0,0,0,1,0,6,6,Night,Holiday,Clearly,Spring,4,2
209,210,2011-01-10,1,0,1,0,0,1,1,1,2,3,5,Dawn,Working Day,Clearly,Spring,1,1
210,211,2011-01-10,1,0,1,1,0,1,1,1,1,0,1,Dawn,Working Day,Clearly,Spring,1,1
211,212,2011-01-10,1,0,1,2,0,1,1,1,0,3,3,Dawn,Working Day,Clearly,Spring,1,1
212,213,2011-01-10,1,0,1,3,0,1,1,1,0,1,1,Dawn,Working Day,Clearly,Spring,1,1
213,214,2011-01-10,1,0,1,4,0,1,1,1,1,2,3,Morning,Working Day,Clearly,Spring,3,2
214,215,2011-01-10,1,0,1,5,0,1,1,1,0,3,3,Morning,Working Day,Clearly,Spring,3,2
215,216,2011-01-10,1,0,1,6,0,1,1,1,0,31,31,Morning,Working Day,Clearly,Spring,3,2
216,217,2011-01-10,1,0,1,7,0,1,1,1,2,75,77,Morning,Working Day,Clearly,Spring,3,2
217,218,2011-01-10,1,0,1,8,0,1,1,2,4,184,188,Morning,Working Day,Misty,Spring,3,2
218,219,2011-01-10,1,0,1,9,0,1,1,2,2,92,94,Morning,Working Day,Misty,Spring,3,2
219,220,2011-01-10,1,0,1,10,0,1,1,2,0,31,31,Morning,Working Day,Misty,Spring,3,2
220,221,2011-01-10,1,0,1,11,0,1,1,2,2,28,30,Afternoon,Working Day,Misty,Spring,0,1
221,222,2011-01-10,1,0,1,12,0,1,1,2,5,47,52,Afternoon,Working Day,Misty,Spring,0,1
222,223,2011-01-10,1,0,1,13,0,1,1,2,4,50,54,Afternoon,Working Day,Misty,Spring,0,1
223,224,2011-01-10,1,0,1,14,0,1,1,2,0,47,47,Afternoon,Working Day,Misty,Spring,0,1
224,225,2011-01-10,1,0,1,15,0,1,1,2,2,43,45,Afternoon,Working Day,Misty,Spring,0,1
225,226,2011-01-10,1,0,1,16,0,1,1,1,4,70,74,Afternoon,Working Day,Clearly,Spring,0,1
226,227,2011-01-10,1,0,1,17,0,1,1,1,4,174,178,Evening,Working Day,Clearly,Spring,2,2
227,228,2011-01-10,1,0,1,18,0,1,1,1,1,154,155,Evening,Working Day,Clearly,Spring,2,2
228,229,2011-01-10,1,0,1,19,0,1,1,1,3,92,95,Night,Working Day,Clearly,Spring,4,2
229,230,2011-01-10,1,0,1,20,0,1,1,1,1,73,74,Night,Working Day,Clearly,Spring,4,2
230,231,2011-01-10,1,0,1,21,0,1,1,1,1,37,38,Night,Working Day,Clearly,Spring,4,2
231,232,2011-01-10,1,0,1,22,0,1,1,1,2,22,24,Night,Working Day,Clearly,Spring,4,2
232,233,2011-01-10,1,0,1,23,0,1,1,1,0,18,18,Night,Working Day,Clearly,Spring,4,2
233,234,2011-01-11,1,0,1,0,0,2,1,1,2,10,12,Dawn,Working Day,Clearly,Spring,1,1
234,235,2011-01-11,1,0,1,1,0,2,1,1,0,3,3,Dawn,Working Day,Clearly,Spring,1,1
235,236,2011-01-11,1,0,1,2,0,2,1,2,0,3,3,Dawn,Working Day,Misty,Spring,1,1
236,237,2011-01-11,1,0,1,5,0,2,1,2,0,6,6,Morning,Working Day,Misty,Spring,3,2
237,238,2011-01-11,1,0,1,6,0,2,1,2,0,27,27,Morning,Working Day,Misty,Spring,3,2
238,239,2011-01-11,1,0,1,7,0,2,1,2,2,97,99,Morning,Working Day,Misty,Spring,3,2
239,240,2011-01-11,1,0,1,8,0,2,1,2,3,214,217,Morning,Working Day,Misty,Spring,3,0
240,241,2011-01-11,1,0,1,9,0,2,1,2,3,127,130,Morning,Working Day,Misty,Spring,3,2
241,242,2011-01-11,1,0,1,10,0,2,1,2,3,51,54,Morning,Working Day,Misty,Spring,3,2
242,243,2011-01-11,1,0,1,11,0,2,1,2,4,31,35,Afternoon,Working Day,Misty,Spring,0,1
243,244,2011-01-11,1,0,1,12,0,2,1,2,2,55,57,Afternoon,Working Day,Misty,Spring,0,1
244,245,2011-01-11,1,0,1,13,0,2,1,2,6,46,52,Afternoon,Working Day,Misty,Spring,0,1
245,246,2011-01-11,1,0,1,14,0,2,1,2,3,60,63,Afternoon,Working Day,Misty,Spring,0,1
246,247,2011-01-11,1,0,1,15,0,2,1,2,2,45,47,Afternoon,Working Day,Misty,Spring,0,1
247,248,2011-01-11,1,0,1,16,0,2,1,2,4,72,76,Afternoon,Working Day,Misty,Spring,0,1
248,249,2011-01-11,1,0,1,17,0,2,1,2,6,130,136,Evening,Working Day,Misty,Spring,2,2
